observer1,start,cloudCover
Indah,0,0.4
Indah,0.115384615384615,0
Indah,0.25,0
Indah,0.453846153846154,0
Indah,0.596153846153846,0
Indah,0.730769230769231,0
Indah,0.873076923076923,0
Indah,0,0.6
Indah,0.211538461538462,0.3
Indah,0.411538461538462,0.3
Indah,0.634615384615385,0.3
Indah,0.838461538461538,0.2
Indah,1,0.1
Indah,0.153846153846154,0
Indah,0.288461538461538,0.2
Indah,0.403846153846154,0.2
Indah,0.538461538461538,0.2
Indah,0.692307692307692,0.2
Indah,0.853846153846154,0.1
Indah,0.992307692307692,0.1
Indah,0,0.2
Indah,0.103846153846154,0.1
Indah,0.219230769230769,0.1
Indah,0.319230769230769,0.1
Indah,0.442307692307692,0
Indah,0.615384615384615,0
Indah,0.769230769230769,0
Indah,0.923076923076923,0
Indah,0,0.8
Indah,0.961538461538461,0
Indah,0.173076923076923,0.8
Indah,0.265384615384615,0.8
Indah,0.365384615384615,0.8
Indah,0.473076923076923,0.6
Indah,0.565384615384615,0.35
Indah,0.673076923076923,0.2
Indah,0.776923076923077,0.1
Indah,0.865384615384615,0.1
Indah,0,0.9
Indah,0.923076923076923,0.4
Indah,0.115384615384615,0.6
Indah,0.219230769230769,0.25
Indah,0.315384615384615,0.1
Indah,0.423076923076923,0.4
Indah,0.519230769230769,0.2
Indah,0.626923076923077,0.2
Indah,0.719230769230769,0
Indah,0.826923076923077,0.4
Katie,0.0884615384615383,0.7
Katie,0.288461538461538,0.5
Katie,0.569230769230769,0.2
Katie,0.838461538461538,0.2
,,
Katie,0.00769230769230766,0
Katie,0.169230769230769,0.95
Katie,0.326923076923077,1
Katie,0.476923076923077,0.9
Katie,0.588461538461539,1
Katie,0.707692307692308,1
Katie,0.803846153846154,0.7
Katie,0.934615384615385,0.8
Katie,0.107692307692308,1
Katie,0.230769230769231,1
Katie,0.384615384615385,1
Katie,0.526923076923077,0.8
Katie,0.684615384615385,0.5
Katie,0.803846153846154,0.3
Katie,0.957692307692308,0.1
,,
Katie,0.253846153846154,1
Katie,0.361538461538461,1
Katie,0.573076923076923,1
Katie,0.673076923076923,1
Katie,0.773076923076923,1
Katie,0.869230769230769,1
Katie,0.973076923076923,1
,,
,,
Katie,0,0.5
Katie,0.934615384615385,0.5
Katie,0.0923076923076924,0.5
Katie,0.188461538461538,0.3
Katie,0.288461538461538,0.3
Katie,0.388461538461538,0.6
Katie,0.488461538461539,0.8
Katie,0.584615384615385,0.2
Katie,0.696153846153846,0.1
Katie,0.803846153846154,0.1
Katie,0.00384615384615383,1
Katie,0.180769230769231,1
Katie,0.307692307692308,1
Katie,0.457692307692308,1
Katie,0.569230769230769,0.6
Katie,0.661538461538462,1
Katie,0.761538461538462,1
Katie,0.861538461538461,1
Katie,0.965384615384615,0.9
Katie,0.0769230769230769,1
Katie,0.176923076923077,1
Katie,0.303846153846154,0.5
Katie,0.434615384615385,0.6
Katie,0.557692307692308,0.95
Katie,0.665384615384615,1
Katie,0.765384615384615,1
Katie,0.869230769230769,1
Katie,0.988461538461538,1
Katie,0.0961538461538462,1
Katie,0.25,0.9
Katie,0.392307692307692,0.9
Katie,0.496153846153846,0.7
Katie,0.6,0.5
Katie,0.707692307692308,0.5
Katie,0.826923076923077,0.7
Katie,0.930769230769231,0.4
,,
Indah,0,0.5
Katie,0.138461538461538,0.4
Katie,0.265384615384615,0.2
Katie,0.392307692307692,0.7
Indah,0.519230769230769,0.7
Indah,0.653846153846154,0.5
Indah,0.796153846153846,0.3
Indah,0.230769230769231,0.3
Indah,0.15,0.3
Indah,0.307692307692308,0.2
Indah,0.442307692307692,0.2
Indah,0.619230769230769,0.4
Indah,0.826923076923077,0.2
Indah,0,0.2
Indah,0.130769230769231,0.2
Indah,0.242307692307692,0.1
Indah,0.384615384615385,0.1
Indah,0.5,0
Indah,0.692307692307692,0
Indah,0.826923076923077,0
Indah,0,0.4
Indah,0.134615384615385,0.1
Indah,0.242307692307692,0.1
Indah,0.346153846153846,0.1
Indah,0.480769230769231,0.7
Indah,0.615384615384615,0.1
Indah,0.738461538461538,0.4
Indah,0.865384615384615,0.4
Indah,0,0.8
Indah,0.903846153846154,0
Indah,0.103846153846154,0.4
Indah,0.211538461538462,0.2
Indah,0.315384615384615,0.1
Indah,0.423076923076923,0.2
Indah,0.519230769230769,0.1
Indah,0.615384615384615,0.1
Indah,0.711538461538462,0
Indah,0.807692307692308,0
Indah,0.0192307692307692,0.8
Indah,0.892307692307692,0.2
Indah,0.134615384615385,0.6
Indah,0.219230769230769,0.5
Indah,0.307692307692308,0.3
Indah,0.403846153846154,0.2
Indah,0.492307692307692,0.2
Indah,0.584615384615385,0.5
Indah,0.723076923076923,0.5
Indah,0.792307692307692,0.5
Katie,0.00384615384615383,1
Katie,0.196153846153846,1
Katie,0.442307692307692,1
Katie,0.615384615384615,1
Katie,0.957692307692308,1
Katie,0.0576923076923077,1
Katie,0.230769230769231,1
Katie,0.346153846153846,1
Katie,0.45,1
Katie,0.542307692307692,1
Katie,0.634615384615385,1
Katie,0.738461538461538,1
Katie,0.9,1
Katie,0.00769230769230766,0.5
Katie,0.126923076923077,0.4
Katie,0.253846153846154,0.4
Katie,0.396153846153846,0.4
Katie,0.561538461538462,0.5
Katie,0.673076923076923,0.4
Katie,0.792307692307692,0.1
Katie,0.903846153846154,0.2
Katie,0.0423076923076924,0.95
Katie,0.153846153846154,1
Katie,0.284615384615385,1
Katie,0.384615384615385,0.9
Katie,0.492307692307692,0.7
Katie,0.596153846153846,0.9
Katie,0.696153846153846,0.9
Katie,0.796153846153846,1
Katie,0.9,1
Katie,0,0.95
Katie,0.892307692307692,1
Katie,0.0961538461538462,0.8
Katie,0.188461538461538,0.7
Katie,0.280769230769231,0.6
Katie,0.380769230769231,0.5
Katie,0.473076923076923,0.7
Katie,0.565384615384615,0.9
Katie,0.669230769230769,1
Katie,0.765384615384615,1
Katie,0.0115384615384615,1
Katie,0.126923076923077,1
Katie,0.238461538461538,1
Katie,0.35,1
Katie,0.453846153846154,1
Katie,0.55,1
Katie,0.638461538461539,1
Katie,0.726923076923077,1
Katie,0.819230769230769,1
Katie,0.0461538461538462,1
Katie,0.146153846153846,1
Katie,0.257692307692308,1
Katie,0.392307692307692,1
Katie,0.519230769230769,0.9
Katie,0.619230769230769,1
Katie,0.719230769230769,1
Katie,0.823076923076923,1
Katie,0.930769230769231,0.99
Katie,0.00384615384615383,1
Katie,0.123076923076923,0.9
Katie,0.238461538461538,0.8
Katie,0.369230769230769,0.8
Katie,0.473076923076923,1
Katie,0.580769230769231,0.9
Katie,0.676923076923077,1
Katie,0.773076923076923,1
Katie,0.880769230769231,0.7
Katie,0.00384615384615383,1
Katie,0.111538461538462,0.7
Katie,0.230769230769231,0.3
Katie,0.430769230769231,0.6
Katie,0.538461538461538,0.7
Katie,0.665384615384615,0.4
Katie,0.780769230769231,0.4
Katie,0.0153846153846153,0
Katie,0.142307692307692,0
Katie,0.315384615384615,0.1
Katie,0.438461538461539,0
Katie,0.573076923076923,0
Katie,0.734615384615385,0
Katie,0.00384615384615383,1
Katie,0.119230769230769,1
Katie,0.226923076923077,1
Katie,0.330769230769231,1
Katie,0.438461538461539,1
Katie,0.55,1
Katie,0.665384615384615,1
Katie,0.0538461538461539,1
Katie,0.153846153846154,1
Katie,0.253846153846154,1
Katie,0.353846153846154,1
Katie,0.461538461538462,1
Katie,0.6,1
Katie,0.730769230769231,1
Katie,0.865384615384615,1
Katie,0.103846153846154,1
,,
Katie,0.196153846153846,1
Katie,0.276923076923077,1
Katie,0.973076923076923,1
Katie,0.880769230769231,1
Katie,0.784615384615385,1
Katie,0.696153846153846,1
,,
,,
Katie,0.00384615384615383,1
Katie,0.888461538461538,0.6
Katie,0.107692307692308,1
Katie,0.203846153846154,1
Katie,0.303846153846154,1
Katie,0.396153846153846,1
Katie,0.492307692307692,1
Katie,0.596153846153846,1
Katie,0.692307692307692,0.8
Katie,0.784615384615385,0.6
Indah,0,1
Indah,0.184615384615385,0.6
Indah,0.388461538461538,0.2
Indah,0.576923076923077,0
Indah,0.815384615384615,1
Indah,0,1
Indah,0.126923076923077,0.8
Indah,0.226923076923077,0.6
Indah,0.315384615384615,0.4
Indah,0.415384615384615,0.4
Indah,0.507692307692308,0.3
Indah,0.611538461538462,0
Indah,0.711538461538462,0
Indah,0,1
Indah,0.111538461538462,1
Indah,0.230769230769231,0.1
Indah,0.346153846153846,0.5
Indah,0.5,0.5
,,
Indah,0.742307692307692,0.5
Indah,0.884615384615385,0.2
Indah,0,1
Indah,0.119230769230769,1
Indah,0.25,0.7
Indah,0.384615384615385,0.3
Indah,0.480769230769231,0
Indah,0.584615384615385,0
Indah,0.696153846153846,0
Indah,0.803846153846154,0
Indah,0.892307692307692,0
Katie,0.00384615384615383,0.2
Katie,0.888461538461538,1
Katie,0.0961538461538462,0.7
Katie,0.184615384615385,0.8
Katie,0.273076923076923,0.7
Katie,0.365384615384615,0.6
Katie,0.453846153846154,0.4
Katie,0.553846153846154,0.5
Katie,0.657692307692308,0.6
Katie,0.757692307692308,0.6
Indah,0,0.9
Indah,0.115384615384615,0.7
Indah,0.25,0.4
Indah,0.384615384615385,0.2
Indah,0.511538461538462,0.2
Indah,0.615384615384615,0
Indah,0.711538461538462,0.1
Indah,0.815384615384615,0
Indah,0.923076923076923,0
Indah,0.0192307692307692,1
Indah,0.15,1
Indah,0.223076923076923,1
Indah,0.330769230769231,1
Indah,0.426923076923077,1
Indah,0.530769230769231,0.8
Indah,0.630769230769231,0.6
Indah,0.742307692307692,0.45
Indah,0.846153846153846,0.3
Indah,0.0192307692307692,1
Indah,0.134615384615385,1
Indah,0.25,1
Indah,0.346153846153846,1
Indah,0.45,1
Indah,0.557692307692308,0.9
,,
Indah,0.769230769230769,0.6
Indah,0.865384615384615,0.5
Katie,0,1
Katie,0.111538461538462,1
Katie,0.211538461538462,1
Katie,0.557692307692308,1
Katie,0.430769230769231,0.9
Katie,0.553846153846154,1
Katie,0.665384615384615,1
Katie,0.00769230769230766,1
Katie,0.134615384615385,1
Katie,0.292307692307692,1
Katie,0.411538461538462,1
Katie,0.557692307692308,1
Katie,0.707692307692308,1
Katie,0.0115384615384615,0
Katie,0.180769230769231,0
Katie,0.284615384615385,0.2
Katie,0.388461538461538,0.2
Katie,0.503846153846154,0.3
Katie,0.623076923076923,0.3
Katie,0.738461538461538,0
Katie,0.00769230769230766,1
Katie,0.103846153846154,1
Katie,0.2,1
Katie,0.292307692307692,1
Katie,0.388461538461538,1
Katie,0.519230769230769,1
Katie,0.65,0.6
Katie,0.773076923076923,0.7
Katie,0.00384615384615383,1
Katie,0.826923076923077,1
Katie,0.0923076923076924,1
Katie,0.180769230769231,1
Katie,0.276923076923077,1
Katie,0.365384615384615,1
Katie,0.457692307692308,1
Katie,0.55,1
Katie,0.642307692307692,1
Katie,0.734615384615385,1
Katie,0.0692307692307692,1
Katie,0.923076923076923,1
Katie,0.173076923076923,1
Katie,0.265384615384615,1
Katie,0.35,1
Katie,0.446153846153846,1
Katie,0.546153846153846,1
Katie,0.638461538461539,1
Katie,0.738461538461538,1
Katie,0.830769230769231,1
Indah,0.288461538461538,1
Indah,0.365384615384615,0.8
Indah,0.546153846153846,0.9
Indah,0.703846153846154,1
Indah,0.911538461538461,1
Indah,0,1
Indah,0.107692307692308,1
Indah,0.2,1
Indah,0.288461538461538,0.95
Indah,0.384615384615385,0.95
Indah,0.473076923076923,0.95
Indah,0.561538461538462,0.9
Indah,0.653846153846154,0.4
Indah,0,1
Indah,0.1,0.9
Indah,0.238461538461538,0.8
Indah,0.307692307692308,0.5
Indah,0.423076923076923,0.3
Indah,0.519230769230769,0
Indah,0.623076923076923,0
Indah,0.730769230769231,0
Indah,0,1
Indah,0.107692307692308,1
Indah,0.230769230769231,0.8
Indah,0.319230769230769,0.6
Indah,0.430769230769231,0.3
Indah,0.526923076923077,0.3
Indah,0.630769230769231,0.1
Indah,0.715384615384615,0.2
Indah,0.807692307692308,0.2
Indah,0.807692307692308,1
Indah,0.880769230769231,1
Indah,0.0884615384615383,1
Indah,0.176923076923077,1
Indah,0.265384615384615,1
Indah,0.361538461538461,1
Indah,0.453846153846154,0.9
Indah,0.55,1
Indah,0.661538461538462,0.95
Indah,0.75,1
Indah,0,1
Indah,0.115384615384615,1
Indah,0.180769230769231,0.9
Indah,0.334615384615385,0.95
Indah,0.411538461538462,0.9
Indah,0.542307692307692,0.4
Indah,0.634615384615385,0.2
Indah,0.723076923076923,0
Indah,0.819230769230769,0
Indah,0,1
Indah,0.0153846153846153,1
Indah,0.188461538461538,0.85
Indah,0.288461538461538,0.8
Indah,0.373076923076923,0.8
Indah,0.5,0.8
Indah,0.596153846153846,0.6
Indah,0.688461538461538,0.8
Indah,0.792307692307692,0.6
Indah,0,1
Indah,0.103846153846154,1
Indah,0.219230769230769,0.9
Indah,0.319230769230769,0.8
Indah,0.415384615384615,0.7
Indah,0.511538461538462,0.2
Indah,0.607692307692308,0.1
Indah,0.703846153846154,0
Indah,0.796153846153846,0
Indah,0,1
Indah,0.1,0.95
Indah,0.2,0.7
Indah,0.303846153846154,0.5
Indah,0.403846153846154,0
Indah,0.534615384615385,0
Indah,0.615384615384615,0
Indah,0,1
Indah,0.134615384615385,1
Indah,0.261538461538461,0.8
Indah,0.376923076923077,0.4
Indah,0.515384615384615,0.4
Indah,0.638461538461539,0
Indah,0,1
Indah,0.1,0.9
Indah,0.196153846153846,0.8
Indah,0.296153846153846,0.6
Indah,0.396153846153846,0.4
Indah,0.5,0
Indah,0.596153846153846,0
Indah,0,1
Indah,0.0961538461538462,0.95
Indah,0.192307692307692,0.8
Indah,0.292307692307692,0.5
Indah,0.403846153846154,0.35
Indah,0.476923076923077,0.5
Indah,0.703846153846154,0.4
Indah,0.815384615384615,0.6
Indah,0,1
Indah,0.8,0.95
Indah,0.0884615384615383,1
Indah,0.173076923076923,1
Indah,0.265384615384615,1
Indah,0.353846153846154,1
Indah,0.442307692307692,1
Indah,0.530769230769231,1
Indah,0.626923076923077,1
Indah,0.711538461538462,0.9
Indah,0,1
Indah,0.796153846153846,0.6
Indah,0.0961538461538462,0.9
Indah,0.176923076923077,0.8
Indah,0.261538461538461,0.8
Indah,0.353846153846154,0.4
Indah,0.442307692307692,0.3
Indah,0.526923076923077,0.4
Indah,0.615384615384615,0.6
Indah,0.707692307692308,0.7
Katie,0.0192307692307692,0.1
Katie,0.219230769230769,0.1
Katie,0.415384615384615,0.1
Katie,0.565384615384615,0.1
Katie,0.776923076923077,0
Katie,0.00384615384615383,0.3
Katie,0.130769230769231,0.3
Katie,0.234615384615385,0.1
Katie,0.338461538461538,0.1
Katie,0.430769230769231,0
Katie,0.526923076923077,0.3
Katie,0.646153846153846,0.2
Katie,0.761538461538462,0.1
Katie,0.00769230769230766,0
Katie,0.111538461538462,0
Katie,0.223076923076923,0
Katie,0.338461538461538,0
Katie,0.476923076923077,0
Katie,0.580769230769231,0
Katie,0.7,0.2
Katie,0.823076923076923,0
Katie,0,1
Katie,0.123076923076923,1
Katie,0.246153846153846,0
Katie,0.338461538461538,0
,,
Katie,0.546153846153846,0
Katie,0.646153846153846,0
Katie,0.742307692307692,0
Katie,0.834615384615385,0
Katie,0,0
Katie,0.857692307692308,1
Katie,0.0884615384615383,0
Katie,0.180769230769231,0.2
Katie,0.276923076923077,0.9
Katie,0.369230769230769,1
Katie,0.457692307692308,1
Katie,0.55,1
Katie,0.65,1
Katie,0.738461538461538,1
Katie,0.026923076923077,0.7
Katie,0.130769230769231,0.6
Katie,0.273076923076923,0.5
Katie,0.388461538461538,0.5
Katie,0.488461538461539,0
Katie,0.607692307692308,0.1
Katie,0.692307692307692,0.8
Katie,0.788461538461538,0.6
Katie,0.880769230769231,0.6
Katie,0.00769230769230766,1
Katie,0.107692307692308,1
Katie,0.196153846153846,1
Katie,0.3,1
Katie,0.396153846153846,1
,,
Katie,0.6,1
Katie,0.7,1
Katie,0.792307692307692,1
Katie,0,0.3
Katie,0.107692307692308,0.3
Katie,0.223076923076923,0.4
Katie,0.319230769230769,0.2
Katie,0.419230769230769,0.2
Katie,0.519230769230769,0.2
Katie,0.615384615384615,0.2
Katie,0.711538461538462,0.4
Katie,0.8,0.8
